Subprefeitura;Subprefeito;Site;Email;Telefone;Endereço
Lapa;Jackeline Morena de Oliveira;http://lapa.prefeitura.sp.gov.br;lapa@prefeitura.sp.gov.br;PABX: 3396-7500;Rua Guaicurus, 1000 - CEP 05033-002
M'Boi Mirim;Nerilton Antonio do Amaral;http://mboimirim.prefeitura.sp.gov.br;mboimirim@prefeitura.sp.gov.br;PABX: 3396-8400;Av. Guarapiranga, 1265 - CEP 04902-903
Mooca;Evando Reis;http://mooca.prefeitura.sp.gov.br;moocagab@prefeitura.sp.gov.br;PABX: 2292-2122;R. Taquari, 549 - CEP 03166-000
Parelheiros;Nilton Oliveira;http://parelheiros.prefeitura.sp.gov.br;parelheiros@prefeitura.sp.gov.br;PABX: 5926-6500;Av. Sadamu Inoue, 5252 - CEP 04825-000
Penha;Pedro Guastaferro Junior;http://penha.prefeitura.sp.gov.br;penhanap@prefeitura.sp.gov.br;PABX: 3397-5100;R. Candapuí, 492 - CEP 03621-000
Perus;Carlos Roberto Massi;http://perus.prefeitura.sp.gov.br;perus@prefeitura.sp.gov.br;PABX: 3396-8600;R. Ylídio Figueiredo, 349 - CEP 05204-020
Pinheiros;Angelo Salvador Filardo Junior;http://pinheiros.prefeitura.sp.gov.br;pinheiros@prefeitura.sp.gov.br;PABX: 3095-9595;Av. Nações Unidas, 7123 - CEP 05425-070
Pirituba;Carlos Eduardo Silva Diethelm;http://pirituba.prefeitura.sp.gov.br;pirituba@prefeitura.sp.gov.br;PABX: 3993-6844;Av. Dr. Felipe Pinel, 12 - CEP 02939-000
Santana/Tucuruvi;Carlos Roberto Candella;http://santana-tucuruvi.prefeitura.sp.gov.br;santanagabinete@prefeitura.sp.gov.br;PABX: 2987-3844;Av. Tucuruvi, 808 - CEP 02304-002
Santo Amaro;Valderci Malagosini Machado;http://santoamaro.prefeitura.sp.gov.br;santoamaro@prefeitura.sp.gov.br;PABX: 3396-6100;Praça Floriano Peixoto, 54 - CEP 04751-030
São Mateus;Fabio Santos da Silva;http://saomateus.prefeitura.sp.gov.br;saomateus@prefeitura.sp.gov.br;PABX: 3397-1100;R. Ragueb Chohfi, 1.400 -  CEP 08375-000
São Miguel;Adalberto Dias de Sousa;http://saomiguel.prefeitura.sp.gov.br;saomiguelpaulista@prefeitura.sp.gov.br;PABX: 2297-9200;R. Ana Flora Pinheiro de Sousa, 76 - CEP 08060-150
Sapopemba;Nereu Amaral;http://www.prefeitura.sp.gov.br/cidade/secretarias/subprefeituras/sapopemba;;;Av. Sapopemba, 9064 - CEP 03988-000
Sé;Alcides Amazonas;http://se.prefeitura.sp.gov.br;gabinetese@prefeitura.sp.gov.br;PABX: 3397-1200;R. Álvares Penteado, 49 - CEP 01012-001
Vila Maria/Vila Guilherme;Gilberto Rossi;http://vilamaria-vilaguilherme.prefeitura.sp.gov.br;vilamariagabinete@prefeitura.sp.gov.br;PABX: 2967-8100;R.General Mendes, 111 - CEP 02127-020
Vila Mariana;João Carlos da Silva Martins;http://vilamariana.prefeitura.sp.gov.br;vilamariana@prefeitura.sp.gov.br;PABX: 3397-4100;R. José de Magalhães, 500 - CEP 04026-090
Vila Prudente;Marcello Rinaldi;http://vilaprudente.prefeitura.sp.gov.br;vilaprudentegabineteexp@prefeitura.sp.gov.br;PABX: 3397-0800;Avenida do Oratório, 172 - CEP 03220-000
